Traffic Lights,Sex,Brain Region
Green,Female,CC
Red,Female,CC
Red,Female,PFC
Amber,Female,CC
Amber,Female,PFC
Red,Female,CC
Amber,Female,PFC
Red,Female,PFC
Amber,Female,CC
Amber,Female,PFC
Red,Female,CC
Amber,Female,PFC
Red,Female,CC
Amber,Female,PFC
Amber,Female,PFC
Green,Female,CC
Amber,Female,PFC
Amber,Female,PFC
Red,Female,CC
Amber,Female,PFC
Red,Female,CC
Green,Female,CC
Amber,Female,CC
Amber,Female,PFC
Amber,Female,CC
Red,Female,CC
Red,Female,CC
Red,Female,CC
Red,Female,CC
Amber,Female,PFC
Red,Female,CC
Red,Female,PFC
Red,Female,CC
Amber,Female,CC
Amber,Female,PFC
Amber,Female,PFC
Amber,Female,CC
Red,Female,PFC
Amber,Female,PFC
Red,Female,CC
Red,Female,CC
Amber,Female,PFC
Red,Female,CC
Green,Female,PFC
Green,Female,PFC
Amber,Female,CC
Amber,Female,CC
Red,Female,CC
Red,Female,PFC
Amber,Female,CC
Red,Female,PFC
Green,Female,CC
